step,train_loss,val_loss,lr,grad_norm
41500,0.144306,,1.00e-04,0.3081
41600,0.146908,,1.00e-04,0.3492
41700,0.116025,,1.00e-04,0.3162
41800,0.104883,,1.00e-04,0.3355
41900,0.081677,,1.00e-04,0.3735
42000,0.098199,,1.00e-04,0.2990
42000,,0.140359,,
42100,0.122250,,1.00e-04,0.3379
42200,0.171315,,1.00e-04,0.3611
42300,0.098473,,1.00e-04,0.3429
42400,0.129294,,1.00e-04,0.3528
42500,0.115680,,1.00e-04,0.3156
42600,0.144250,,1.00e-04,0.2922
42700,0.128791,,1.00e-04,0.2832
42800,0.112901,,1.00e-04,0.3511
42900,0.123611,,1.00e-04,0.2999
43000,0.171941,,1.00e-04,0.3090
43100,0.125970,,1.00e-04,0.3142
43200,0.124444,,1.00e-04,0.3239
43300,0.111379,,1.00e-04,0.3264
43400,0.116562,,1.00e-04,0.3257
43500,0.152818,,1.00e-04,0.3212
43600,0.126881,,1.00e-04,0.3406
43700,0.134851,,1.00e-04,0.2874
43800,0.100116,,1.00e-04,0.3030
43900,0.108695,,1.00e-04,0.3139
44000,0.112185,,1.00e-04,0.3572
44000,,0.143672,,
44100,0.112762,,1.00e-04,0.3074
44200,0.115360,,1.00e-04,0.3584
44300,0.112737,,1.00e-04,0.3132
44400,0.137537,,1.00e-04,0.3243
44500,0.141688,,1.00e-04,0.4011
44600,0.131669,,1.00e-04,0.2768
44700,0.102482,,1.00e-04,0.3195
44800,0.114378,,1.00e-04,0.3424
44900,0.120701,,1.00e-04,0.3229
45000,0.140561,,1.00e-04,0.3493
45100,0.181002,,1.00e-04,0.2989
45200,0.121718,,1.00e-04,0.3550
45300,0.142008,,1.00e-04,0.3506
45400,0.143061,,1.00e-04,0.3824
45500,0.145826,,1.00e-04,0.2928
45600,0.100118,,1.00e-04,0.3202
45700,0.117241,,1.00e-04,0.2789
45800,0.109953,,1.00e-04,0.3404
45900,0.134937,,1.00e-04,0.3141
46000,0.127257,,1.00e-04,0.2960
46000,,0.133001,,
46100,0.152007,,1.00e-04,0.4004
46200,0.182197,,1.00e-04,0.3066
46300,0.122025,,1.00e-04,0.3202
46400,0.133688,,1.00e-04,0.3968
46500,0.120735,,1.00e-04,0.3755
46600,0.106848,,1.00e-04,0.3690
46700,0.108190,,1.00e-04,0.3305
46800,0.125360,,1.00e-04,0.4041
46900,0.130426,,1.00e-04,0.3946
47000,0.125908,,1.00e-04,0.2893
47100,0.131537,,1.00e-04,0.2657
47200,0.098132,,1.00e-04,0.3374
47300,0.093408,,1.00e-04,0.3299
47400,0.093887,,1.00e-04,0.3627
47500,0.162447,,1.00e-04,0.2753
47600,0.136796,,1.00e-04,0.3724
47700,0.173339,,1.00e-04,0.3467
47800,0.121020,,1.00e-04,0.3316
47900,0.106407,,1.00e-04,0.4052
48000,0.140653,,1.00e-04,0.2724
48000,,0.144320,,
48100,0.143777,,1.00e-04,0.3301
48200,0.113393,,1.00e-04,0.3128
48300,0.125019,,1.00e-04,0.3622
48400,0.119899,,1.00e-04,0.3771
48500,0.142486,,1.00e-04,0.3877
48600,0.088801,,1.00e-04,0.3567
48700,0.139348,,1.00e-04,0.2844
48800,0.165486,,1.00e-04,0.3220
48900,0.157102,,1.00e-04,0.2688
49000,0.129951,,1.00e-04,0.3406
49100,0.123797,,1.00e-04,0.3102
49200,0.092854,,1.00e-04,0.3634
49300,0.148970,,1.00e-04,0.4093
49400,0.078821,,1.00e-04,0.4447
49500,0.118106,,1.00e-04,0.3502
49600,0.161686,,1.00e-04,0.3147
49700,0.160666,,1.00e-04,0.2863
49800,0.100078,,1.00e-04,0.3420
49900,0.101038,,1.00e-04,0.3095
50000,0.110379,,1.00e-04,0.3842
50000,,0.140479,,
50100,0.145033,,1.00e-04,0.3194
50200,0.115446,,1.00e-04,0.3289
