step,train_loss,val_loss,lr,grad_norm
35300,0.163387,,1.00e-04,0.3392
35400,0.118303,,1.00e-04,0.3199
35500,0.145170,,1.00e-04,0.3115
35600,0.135663,,1.00e-04,0.3039
35700,0.137739,,1.00e-04,0.2671
35800,0.125232,,1.00e-04,0.2852
35900,0.132494,,1.00e-04,0.4011
36000,0.170736,,1.00e-04,0.3032
36000,,0.138948,,
36100,0.104981,,1.00e-04,0.3851
36200,0.129690,,1.00e-04,0.3389
36300,0.170857,,1.00e-04,0.3218
36400,0.111490,,1.00e-04,0.3277
36500,0.136610,,1.00e-04,0.2654
36600,0.101244,,1.00e-04,0.3149
36700,0.138816,,1.00e-04,0.3255
36800,0.097294,,1.00e-04,0.3932
36900,0.132438,,1.00e-04,0.2808
37000,0.133046,,1.00e-04,0.3688
37100,0.103760,,1.00e-04,0.3376
37200,0.175207,,1.00e-04,0.3054
37300,0.138256,,1.00e-04,0.2597
37400,0.153345,,1.00e-04,0.2675
37500,0.104743,,1.00e-04,0.3287
37600,0.099686,,1.00e-04,0.4423
37700,0.117358,,1.00e-04,0.3715
37800,0.134396,,1.00e-04,0.3778
37900,0.145493,,1.00e-04,0.2567
38000,0.116380,,1.00e-04,0.3578
38000,,0.136396,,
38100,0.138486,,1.00e-04,0.3479
38200,0.111534,,1.00e-04,0.3185
38300,0.147334,,1.00e-04,0.3951
38400,0.114421,,1.00e-04,0.3568
38500,0.163881,,1.00e-04,0.2482
38600,0.121774,,1.00e-04,0.3545
38700,0.122220,,1.00e-04,0.3303
38800,0.152569,,1.00e-04,0.3193
38900,0.156747,,1.00e-04,0.3013
39000,0.116659,,1.00e-04,0.2842
39100,0.131893,,1.00e-04,0.3555
39200,0.111433,,1.00e-04,0.3417
39300,0.151260,,1.00e-04,0.3438
39400,0.140813,,1.00e-04,0.3295
39500,0.144379,,1.00e-04,0.3269
39600,0.140744,,1.00e-04,0.3444
39700,0.152139,,1.00e-04,0.2820
39800,0.128728,,1.00e-04,0.2997
39900,0.115569,,1.00e-04,0.2965
40000,0.115895,,1.00e-04,0.3897
40000,,0.145681,,
40100,0.173316,,1.00e-04,0.2889
40200,0.107037,,1.00e-04,0.3689
40300,0.134384,,1.00e-04,0.3475
40400,0.104464,,1.00e-04,0.3527
40500,0.141042,,1.00e-04,0.2996
40600,0.123211,,1.00e-04,0.3622
40700,0.092356,,1.00e-04,0.4181
40800,0.142248,,1.00e-04,0.3571
40900,0.134187,,1.00e-04,0.2838
41000,0.115980,,1.00e-04,0.3314
41100,0.114860,,1.00e-04,0.3081
41200,0.106245,,1.00e-04,0.3430
41300,0.176403,,1.00e-04,0.2739
41400,0.170764,,1.00e-04,0.2947
41500,0.134747,,1.00e-04,0.2992
41600,0.143388,,1.00e-04,0.3316
41700,0.142048,,1.00e-04,0.3090
41800,0.158598,,1.00e-04,0.3060
41900,0.137007,,1.00e-04,0.3274
42000,0.097519,,1.00e-04,0.4051
42000,,0.137100,,
42100,0.132951,,1.00e-04,0.2698
42200,0.117675,,1.00e-04,0.3324
42300,0.142303,,1.00e-04,0.3584
42400,0.207761,,1.00e-04,0.4222
42500,0.100756,,1.00e-04,0.3497
42600,0.143535,,1.00e-04,0.4149
42700,0.125880,,1.00e-04,0.2732
42800,0.150985,,1.00e-04,0.2513
42900,0.141783,,1.00e-04,0.2636
43000,0.099213,,1.00e-04,0.3308
43100,0.138924,,1.00e-04,0.3667
43200,0.122805,,1.00e-04,0.3336
43300,0.129466,,1.00e-04,0.2684
43400,0.153569,,1.00e-04,0.3058
43500,0.114964,,1.00e-04,0.3074
43600,0.138276,,1.00e-04,0.3641
43700,0.130168,,1.00e-04,0.2853
43800,0.163445,,1.00e-04,0.3401
43900,0.143106,,1.00e-04,0.2898
44000,0.148946,,1.00e-04,0.2957
44000,,0.138397,,
44100,0.146621,,1.00e-04,0.3215
44200,0.088187,,1.00e-04,0.3334
44300,0.142620,,1.00e-04,0.2839
44400,0.115048,,1.00e-04,0.3146
44500,0.133018,,1.00e-04,0.3313
44600,0.079202,,1.00e-04,0.3740
44700,0.123767,,1.00e-04,0.3413
44800,0.149067,,1.00e-04,0.3699
44900,0.182944,,1.00e-04,0.2763
45000,0.126943,,1.00e-04,0.2950
45100,0.130686,,1.00e-04,0.3754
45200,0.125685,,1.00e-04,0.2894
45300,0.108690,,1.00e-04,0.4352
45400,0.132059,,1.00e-04,0.3106
45500,0.142335,,1.00e-04,0.3039
45600,0.084795,,1.00e-04,0.4568
45700,0.140939,,1.00e-04,0.2882
45800,0.132360,,1.00e-04,0.2691
45900,0.092828,,1.00e-04,0.3370
46000,0.131998,,1.00e-04,0.3201
46000,,0.146987,,
46100,0.139123,,1.00e-04,0.3250
46200,0.106883,,1.00e-04,0.4031
46300,0.113778,,1.00e-04,0.4271
46400,0.144488,,1.00e-04,0.3192
46500,0.123297,,1.00e-04,0.3369
46600,0.155095,,1.00e-04,0.2639
46700,0.146127,,1.00e-04,0.3305
46800,0.139721,,1.00e-04,0.3302
46900,0.092277,,1.00e-04,0.3753
47000,0.103770,,1.00e-04,0.3990
47100,0.180956,,1.00e-04,0.3026
47200,0.124337,,1.00e-04,0.2938
47300,0.162215,,1.00e-04,0.2817
47400,0.111638,,1.00e-04,0.2550
47500,0.112904,,1.00e-04,0.3319
47600,0.136232,,1.00e-04,0.3025
47700,0.108599,,1.00e-04,0.3281
47800,0.130233,,1.00e-04,0.3330
47900,0.106942,,1.00e-04,0.3566
48000,0.154642,,1.00e-04,0.3207
48000,,0.140406,,
48100,0.110574,,1.00e-04,0.3721
48200,0.117277,,1.00e-04,0.3730
48300,0.103968,,1.00e-04,0.4014
48400,0.100645,,1.00e-04,0.4182
48500,0.094165,,1.00e-04,0.3347
48600,0.107094,,1.00e-04,0.3530
48700,0.112680,,1.00e-04,0.3844
48800,0.152525,,1.00e-04,0.3364
48900,0.145379,,1.00e-04,0.2733
49000,0.121803,,1.00e-04,0.3213
49100,0.163142,,1.00e-04,0.3224
49200,0.112933,,1.00e-04,0.3449
49300,0.123358,,1.00e-04,0.2862
49400,0.136879,,1.00e-04,0.2830
49500,0.097880,,1.00e-04,0.3939
49600,0.142150,,1.00e-04,0.2963
49700,0.138718,,1.00e-04,0.3055
49800,0.121942,,1.00e-04,0.3161
49900,0.125327,,1.00e-04,0.3359
50000,0.166877,,1.00e-04,0.3092
50000,,0.133769,,
50100,0.109881,,1.00e-04,0.3764
50200,0.117208,,1.00e-04,0.3159
50300,0.105615,,1.00e-04,0.3733
50400,0.115451,,1.00e-04,0.4592
50500,0.121845,,1.00e-04,0.3721
50600,0.093148,,1.00e-04,0.4144
50700,0.117856,,1.00e-04,0.3356
50800,0.114335,,1.00e-04,0.3514
50900,0.124421,,1.00e-04,0.3524
51000,0.114545,,1.00e-04,0.3226
51100,0.140996,,1.00e-04,0.3534
51200,0.095278,,1.00e-04,0.3930
51300,0.126576,,1.00e-04,0.3430
51400,0.105052,,1.00e-04,0.3485
51500,0.132399,,1.00e-04,0.3933
51600,0.128060,,1.00e-04,0.3275
51700,0.109937,,1.00e-04,0.3869
51800,0.122604,,1.00e-04,0.3304
51900,0.105785,,1.00e-04,0.3631
52000,0.135081,,1.00e-04,0.3318
52000,,0.136291,,
52100,0.128210,,1.00e-04,0.2586
52200,0.123360,,1.00e-04,0.3540
52300,0.105816,,1.00e-04,0.4121
52400,0.143617,,1.00e-04,0.3151
52500,0.120113,,1.00e-04,0.3616
52600,0.124402,,1.00e-04,0.3703
52700,0.115555,,1.00e-04,0.3320
52800,0.114444,,1.00e-04,0.3392
52900,0.142399,,1.00e-04,0.2715
53000,0.148523,,1.00e-04,0.3365
53100,0.120675,,1.00e-04,0.3376
53200,0.107058,,1.00e-04,0.3192
53300,0.091490,,1.00e-04,0.3735
53400,0.105210,,1.00e-04,0.2917
53500,0.110855,,1.00e-04,0.3461
53600,0.156712,,1.00e-04,0.3393
53700,0.142558,,1.00e-04,0.3165
53800,0.124752,,1.00e-04,0.3299
53900,0.129524,,1.00e-04,0.3077
54000,0.116245,,1.00e-04,0.3966
54000,,0.144745,,
54100,0.193337,,1.00e-04,0.3671
54200,0.134227,,1.00e-04,0.2600
54300,0.099557,,1.00e-04,0.4529
54400,0.132064,,1.00e-04,0.3231
54500,0.133092,,1.00e-04,0.3736
54600,0.099945,,1.00e-04,0.3634
54700,0.124951,,1.00e-04,0.3779
54800,0.140215,,1.00e-04,0.4680
54900,0.140383,,1.00e-04,0.2734
55000,0.115542,,1.00e-04,0.4052
55100,0.130260,,1.00e-04,0.4648
55200,0.104312,,1.00e-04,0.3945
55300,0.143691,,1.00e-04,0.3173
55400,0.132486,,1.00e-04,0.3034
55500,0.163818,,1.00e-04,0.2627
55600,0.153129,,1.00e-04,0.3482
55700,0.137237,,1.00e-04,0.2900
55800,0.112906,,1.00e-04,0.3345
55900,0.123804,,1.00e-04,0.3632
56000,0.096295,,1.00e-04,0.4479
56000,,0.133121,,
56100,0.099203,,1.00e-04,0.3771
56200,0.164120,,1.00e-04,0.3186
56300,0.137624,,1.00e-04,0.3802
56400,0.114369,,1.00e-04,0.2945
56500,0.138895,,1.00e-04,0.3471
56600,0.162046,,1.00e-04,0.4009
56700,0.106653,,1.00e-04,0.4099
56800,0.099444,,1.00e-04,0.3940
56900,0.134719,,1.00e-04,0.3871
57000,0.118156,,1.00e-04,0.3317
57100,0.139760,,1.00e-04,0.2805
57200,0.113854,,1.00e-04,0.4123
57300,0.173312,,1.00e-04,0.3688
57400,0.143526,,1.00e-04,0.3159
57500,0.120917,,1.00e-04,0.3308
57600,0.126987,,1.00e-04,0.3026
57700,0.133629,,1.00e-04,0.3091
57800,0.112311,,1.00e-04,0.3907
57900,0.104316,,1.00e-04,0.3285
58000,0.127552,,1.00e-04,0.2969
58000,,0.136551,,
58100,0.137541,,1.00e-04,0.3204
58200,0.132052,,1.00e-04,0.2896
58300,0.129363,,1.00e-04,0.3167
58400,0.150440,,1.00e-04,0.2780
58500,0.116936,,1.00e-04,0.4842
58600,0.109848,,1.00e-04,0.3247
58700,0.165146,,1.00e-04,0.2901
58800,0.118674,,1.00e-04,0.3094
58900,0.162178,,1.00e-04,0.2889
59000,0.136603,,1.00e-04,0.3924
59100,0.100718,,1.00e-04,0.4335
59200,0.097874,,1.00e-04,0.3262
59300,0.111700,,1.00e-04,0.3381
59400,0.153130,,1.00e-04,0.3797
59500,0.134812,,1.00e-04,0.4261
59600,0.083857,,1.00e-04,0.3416
59700,0.139701,,1.00e-04,0.2745
59800,0.120428,,1.00e-04,0.3265
59900,0.152413,,1.00e-04,0.3029
60000,0.149165,,1.00e-04,0.3212
60000,,0.130321,,
60100,0.145825,,1.00e-04,0.3706
60200,0.146416,,1.00e-04,0.3484
60300,0.129794,,1.00e-04,0.3005
60400,0.110647,,1.00e-04,0.3191
60500,0.156510,,1.00e-04,0.3599
60600,0.140354,,1.00e-04,0.3846
60700,0.141938,,1.00e-04,0.3633
60800,0.147949,,1.00e-04,0.3404
60900,0.090054,,1.00e-04,0.3701
61000,0.128520,,1.00e-04,0.3915
61100,0.139065,,1.00e-04,0.2713
61200,0.113118,,1.00e-04,0.3106
61300,0.119713,,1.00e-04,0.3508
61400,0.106621,,1.00e-04,0.3696
61500,0.120267,,1.00e-04,0.3786
61600,0.145495,,1.00e-04,0.3049
61700,0.129539,,1.00e-04,0.3688
61800,0.134727,,1.00e-04,0.3184
61900,0.129023,,1.00e-04,0.3081
62000,0.124255,,1.00e-04,0.3380
62000,,0.147850,,
62100,0.125788,,1.00e-04,0.3723
62200,0.100027,,1.00e-04,0.3405
62300,0.121823,,1.00e-04,0.2961
62400,0.135093,,1.00e-04,0.3978
62500,0.128834,,1.00e-04,0.3612
62600,0.133362,,1.00e-04,0.2701
62700,0.149859,,1.00e-04,0.3499
62800,0.151431,,1.00e-04,0.2776
62900,0.140514,,1.00e-04,0.3590
63000,0.104793,,1.00e-04,0.3568
63100,0.134584,,1.00e-04,0.3398
63200,0.156552,,1.00e-04,0.3415
63300,0.121707,,1.00e-04,0.3179
63400,0.130817,,1.00e-04,0.4059
63500,0.141785,,1.00e-04,0.3677
63600,0.124093,,1.00e-04,0.2830
63700,0.121435,,1.00e-04,0.3394
63800,0.138930,,1.00e-04,0.2927
63900,0.190600,,1.00e-04,0.3309
64000,0.119647,,1.00e-04,0.3601
64000,,0.144778,,
64100,0.094269,,1.00e-04,0.3886
64200,0.157551,,1.00e-04,0.3077
64300,0.171056,,1.00e-04,0.2800
