step,train_loss,val_loss,lr,grad_norm
26900,0.148137,,1.00e-04,0.2782
27000,0.115495,,1.00e-04,0.3050
27100,0.148981,,1.00e-04,0.3014
27200,0.160812,,1.00e-04,0.2590
27300,0.111143,,1.00e-04,0.3306
27400,0.104255,,1.00e-04,0.3090
27500,0.159915,,1.00e-04,0.2826
27600,0.117482,,1.00e-04,0.2857
27700,0.145342,,1.00e-04,0.3689
27800,0.112957,,1.00e-04,0.3683
27900,0.147097,,1.00e-04,0.3261
28000,0.153959,,1.00e-04,0.3074
28000,,0.142003,,
28100,0.156303,,1.00e-04,0.3004
28200,0.171530,,1.00e-04,0.3095
28300,0.104836,,1.00e-04,0.3256
28400,0.158048,,1.00e-04,0.2748
28500,0.140982,,1.00e-04,0.3134
28600,0.149052,,1.00e-04,0.2694
28700,0.186580,,1.00e-04,0.3069
28800,0.106889,,1.00e-04,0.3105
28900,0.091811,,1.00e-04,0.2960
29000,0.147848,,1.00e-04,0.3095
29100,0.175508,,1.00e-04,0.2770
29200,0.168606,,1.00e-04,0.2539
29300,0.168491,,1.00e-04,0.3013
29400,0.139197,,1.00e-04,0.2692
29500,0.121029,,1.00e-04,0.3155
29600,0.156223,,1.00e-04,0.3335
29700,0.181303,,1.00e-04,0.3072
29800,0.152292,,1.00e-04,0.2850
29900,0.129660,,1.00e-04,0.2816
30000,0.113485,,1.00e-04,0.3205
30000,,0.134996,,
30100,0.137623,,1.00e-04,0.3046
30200,0.111744,,1.00e-04,0.3105
30300,0.166439,,1.00e-04,0.3338
30400,0.114733,,1.00e-04,0.3510
30500,0.179014,,1.00e-04,0.3218
30600,0.157091,,1.00e-04,0.3126
30700,0.155073,,1.00e-04,0.2733
30800,0.182545,,1.00e-04,0.3121
30900,0.139028,,1.00e-04,0.2628
31000,0.121959,,1.00e-04,0.3406
31100,0.148101,,1.00e-04,0.2758
31200,0.120947,,1.00e-04,0.3406
31300,0.158449,,1.00e-04,0.3103
31400,0.144995,,1.00e-04,0.3034
31500,0.132202,,1.00e-04,0.3746
31600,0.204570,,1.00e-04,0.2852
31700,0.116379,,1.00e-04,0.2994
31800,0.143900,,1.00e-04,0.3099
31900,0.103450,,1.00e-04,0.4492
32000,0.180405,,1.00e-04,0.2891
32000,,0.151211,,
32100,0.132872,,1.00e-04,0.3213
32200,0.153569,,1.00e-04,0.2633
32300,0.140099,,1.00e-04,0.2593
32400,0.122421,,1.00e-04,0.3160
32500,0.144263,,1.00e-04,0.2492
32600,0.168508,,1.00e-04,0.3033
32700,0.149279,,1.00e-04,0.2785
32800,0.145828,,1.00e-04,0.3196
32900,0.167743,,1.00e-04,0.2616
33000,0.143142,,1.00e-04,0.2911
33100,0.145233,,1.00e-04,0.2910
33200,0.136585,,1.00e-04,0.3127
33300,0.174984,,1.00e-04,0.3276
33400,0.145815,,1.00e-04,0.2704
33500,0.153473,,1.00e-04,0.3032
33600,0.124784,,1.00e-04,0.2921
33700,0.161792,,1.00e-04,0.2825
33800,0.117328,,1.00e-04,0.3093
33900,0.109117,,1.00e-04,0.4486
34000,0.111018,,1.00e-04,0.3324
34000,,0.146606,,
34100,0.137113,,1.00e-04,0.2812
34200,0.104413,,1.00e-04,0.2875
34300,0.143484,,1.00e-04,0.2671
34400,0.128956,,1.00e-04,0.3110
34500,0.123587,,1.00e-04,0.2635
34600,0.127347,,1.00e-04,0.2990
34700,0.139495,,1.00e-04,0.3233
34800,0.178775,,1.00e-04,0.3314
34900,0.124106,,1.00e-04,0.2989
35000,0.131344,,1.00e-04,0.3129
35100,0.147557,,1.00e-04,0.2548
35200,0.132463,,1.00e-04,0.3621
35300,0.125935,,1.00e-04,0.3076
35400,0.152417,,1.00e-04,0.2869
35500,0.103204,,1.00e-04,0.3363
35600,0.124771,,1.00e-04,0.2789
35700,0.153014,,1.00e-04,0.3101
35800,0.176771,,1.00e-04,0.2752
35900,0.158076,,1.00e-04,0.2769
36000,0.200310,,1.00e-04,0.2986
36000,,0.142838,,
36100,0.141703,,1.00e-04,0.3013
36200,0.141461,,1.00e-04,0.2678
36300,0.154950,,1.00e-04,0.3102
36400,0.140282,,1.00e-04,0.3045
36500,0.133567,,1.00e-04,0.2985
36600,0.144435,,1.00e-04,0.3236
36700,0.134489,,1.00e-04,0.3066
36800,0.129788,,1.00e-04,0.3155
36900,0.141642,,1.00e-04,0.2862
37000,0.125907,,1.00e-04,0.3520
37100,0.158821,,1.00e-04,0.2260
37200,0.148318,,1.00e-04,0.2731
37300,0.147905,,1.00e-04,0.2992
37400,0.089142,,1.00e-04,0.2960
37500,0.165566,,1.00e-04,0.3359
37600,0.181092,,1.00e-04,0.2865
37700,0.142948,,1.00e-04,0.2628
37800,0.190974,,1.00e-04,0.2987
37900,0.136416,,1.00e-04,0.3063
38000,0.158342,,1.00e-04,0.3325
38000,,0.140003,,
38100,0.113206,,1.00e-04,0.2899
38200,0.128444,,1.00e-04,0.3130
38300,0.109260,,1.00e-04,0.3876
38400,0.116840,,1.00e-04,0.3802
38500,0.139954,,1.00e-04,0.2844
38600,0.165426,,1.00e-04,0.3346
38700,0.125435,,1.00e-04,0.3326
38800,0.107425,,1.00e-04,0.3584
38900,0.160111,,1.00e-04,0.3069
39000,0.097451,,1.00e-04,0.2999
39100,0.114541,,1.00e-04,0.3174
39200,0.131653,,1.00e-04,0.3312
39300,0.177823,,1.00e-04,0.3770
39400,0.145402,,1.00e-04,0.2784
39500,0.116306,,1.00e-04,0.3767
39600,0.137784,,1.00e-04,0.3578
39700,0.154750,,1.00e-04,0.2803
39800,0.116692,,1.00e-04,0.3345
39900,0.133960,,1.00e-04,0.2990
40000,0.123436,,1.00e-04,0.3451
40000,,0.143840,,
40100,0.088556,,1.00e-04,0.3266
40200,0.124097,,1.00e-04,0.3176
40300,0.171447,,1.00e-04,0.3186
40400,0.128787,,1.00e-04,0.2721
40500,0.161244,,1.00e-04,0.3565
40600,0.125197,,1.00e-04,0.3228
40700,0.104426,,1.00e-04,0.3638
40800,0.164948,,1.00e-04,0.2425
40900,0.118862,,1.00e-04,0.3265
41000,0.117625,,1.00e-04,0.2752
41100,0.157399,,1.00e-04,0.2657
41200,0.138148,,1.00e-04,0.2960
41300,0.151897,,1.00e-04,0.3419
41400,0.113942,,1.00e-04,0.3283
41500,0.119002,,1.00e-04,0.3561
41600,0.142337,,1.00e-04,0.2518
41700,0.153485,,1.00e-04,0.2978
41800,0.164402,,1.00e-04,0.3131
41900,0.167766,,1.00e-04,0.2828
42000,0.105067,,1.00e-04,0.3698
42000,,0.133993,,
42100,0.124010,,1.00e-04,0.3522
42200,0.115098,,1.00e-04,0.3792
42300,0.123502,,1.00e-04,0.2842
42400,0.150486,,1.00e-04,0.2889
42500,0.106750,,1.00e-04,0.3561
42600,0.140526,,1.00e-04,0.3540
42700,0.185490,,1.00e-04,0.3089
42800,0.143175,,1.00e-04,0.2937
42900,0.107312,,1.00e-04,0.3824
43000,0.141672,,1.00e-04,0.3208
43100,0.120857,,1.00e-04,0.3420
43200,0.170422,,1.00e-04,0.2763
43300,0.172987,,1.00e-04,0.2632
43400,0.120088,,1.00e-04,0.3222
43500,0.140577,,1.00e-04,0.3275
43600,0.181437,,1.00e-04,0.2755
43700,0.196105,,1.00e-04,0.2717
43800,0.150353,,1.00e-04,0.3065
43900,0.186532,,1.00e-04,0.2754
44000,0.126374,,1.00e-04,0.3484
44000,,0.138631,,
44100,0.118188,,1.00e-04,0.3490
44200,0.189801,,1.00e-04,0.2705
44300,0.115231,,1.00e-04,0.3653
44400,0.111571,,1.00e-04,0.3351
44500,0.102986,,1.00e-04,0.4244
44600,0.114219,,1.00e-04,0.2870
44700,0.140028,,1.00e-04,0.3086
44800,0.119745,,1.00e-04,0.3543
44900,0.113130,,1.00e-04,0.3371
45000,0.143005,,1.00e-04,0.3198
45100,0.102813,,1.00e-04,0.3369
45200,0.166236,,1.00e-04,0.2937
45300,0.130549,,1.00e-04,0.3316
45400,0.126509,,1.00e-04,0.2945
45500,0.134195,,1.00e-04,0.3033
45600,0.142182,,1.00e-04,0.3026
45700,0.126624,,1.00e-04,0.2367
45800,0.167218,,1.00e-04,0.3278
45900,0.145710,,1.00e-04,0.3258
46000,0.110060,,1.00e-04,0.3506
46000,,0.143020,,
46100,0.123543,,1.00e-04,0.3351
46200,0.142485,,1.00e-04,0.3229
46300,0.169435,,1.00e-04,0.2743
46400,0.107020,,1.00e-04,0.3566
46500,0.105755,,1.00e-04,0.3305
46600,0.160706,,1.00e-04,0.3158
46700,0.141216,,1.00e-04,0.2770
46800,0.132404,,1.00e-04,0.3265
46900,0.129137,,1.00e-04,0.3746
47000,0.108071,,1.00e-04,0.3699
47100,0.127517,,1.00e-04,0.3287
47200,0.161705,,1.00e-04,0.2591
47300,0.136377,,1.00e-04,0.3202
47400,0.150351,,1.00e-04,0.3258
47500,0.145944,,1.00e-04,0.2812
47600,0.153368,,1.00e-04,0.2854
47700,0.156117,,1.00e-04,0.2640
47800,0.125650,,1.00e-04,0.3168
47900,0.111302,,1.00e-04,0.3540
48000,0.100272,,1.00e-04,0.3351
48000,,0.139417,,
48100,0.188443,,1.00e-04,0.3146
48200,0.119441,,1.00e-04,0.4323
48300,0.132522,,1.00e-04,0.3545
48400,0.144344,,1.00e-04,0.2701
48500,0.148963,,1.00e-04,0.2863
48600,0.127925,,1.00e-04,0.4112
48700,0.162965,,1.00e-04,0.3240
48800,0.111142,,1.00e-04,0.3371
48900,0.141351,,1.00e-04,0.3386
49000,0.184256,,1.00e-04,0.3153
49100,0.125185,,1.00e-04,0.3342
49200,0.121228,,1.00e-04,0.3326
49300,0.123064,,1.00e-04,0.3113
